Category|Type|Id|Text|Implementation|Verification
S5|S|4|For each event report it pre-defines, the PUS Extension of the CORDET Framework shall provide a Generate Pre-Defined Event Function which takes as parameters the event type, subtype, discriminant and the event parameters|See functions in \texttt{CrPsEvtGenPreDefEvt} module|See test cases \texttt{CrPsEvtTestCase3} and \texttt{CrPsEvtTestCase9}
S5|S|5|The Generate Pre-Defined Event Function shall: retrieve an OutComponent to encapsulate the event report from the OutFactory, configure it with its parameters and load it in the OutLoader|See functions in \texttt{CrPsEvtGenPreDefEvt} module|See test cases \texttt{CrPsEvtTestCase3} and \texttt{CrPsEvtTestCase9}
S5|S|6|If the OutComponent retrieval from the OutFactory fails, the Generate Pre-Defined Event Function shall generate an error report of type OUTFACTORY\_FAIL|See functions in \text{CrPsEvtGenPreDefEvt} module|See test cases \texttt{CrPsEvtTestCase9}
S5|S|7|The PUS Extension of the CORDET Framework shall support the commands and reports specified in tables \ref{tab:OutCmpEvtRepaSpec} to \ref{tab:OutCmpEvtDisRepSpec} in [PX-SP]|Report Xyz is implemented in module CrPsOutCmpXyz. Command Xyz is implemented in module CrPsInCmdXyz. The header files of these modules and skeleton body files are generated by the CORDET Editor.|All service 5 commands and reports are verified by test (see section \ref{sec:svrVerCmdReps})
S5|S|8|The PUS Extension of the CORDET Framework shall maintain and make accessible through the data pool the observables and parameters listed in table \ref{tab:Obs-S5} in [PX-SP]|See the data structures defined in \texttt{CrPsDpEvt}|Extent of verification of observables is shown in section \ref{sec:svrVerDataPool}
S11|S|1|The PUS Extension of the CORDET Framework shall implement a Time-Based Schedule (TBS) consisting of SCD\_N\_TBA Time-Based Activities (TBAs) with the attributes defined in table \ref{tab:tbaAtt} in [PX-SP]|This service is not yet implemented|
S11|S|2|The PUS Extension of the CORDET Framework shall provide a Time-Based Execution Procedure implementing the behaviour shown in figure \ref{fig:TbsExec} in [PX-SP]|This service is not yet implemented|
S11|C|3|Applications shall be responsible for periodically executing the Time-Based Execution Procedure of figure \ref{fig:TbsExec}||
S11|C|4|Applications which do not need sub-schedules shall: (a) set SCD\_N\_SUB\_TBS to 1 and (b) enable the first sub-schedule as part of their initialization||
S11|C|5|Applications which do not need groups shall, as part of their initialization, (a) set SCD\_N\_GROUP to 1, and (b) set the InUse and Enabled flag of the first group to true||
S11|S|6|The PUS Extension of the CORDET Framework shall support the commands and reports specified in tables \ref{tab:InCmdScdEnbTbsCmdSpec} to \ref{tab:OutCmpScdGrpRepSpec}|This service is not yet implemented|
S11|C|7|Service 11 shall be configured such that a single (11,27) report can hold the status of SCD\_N\_GROUPS groups||
S12|S|1|The PUS Extension of the CORDET Framework shall provide a Monitoring Function Procedure implementing the behaviour shown in figure \ref{fig:MonFncPr}|This service is not yet implemented|
S12|S|2|The PUS Extension of the CORDET Framework shall implement a Parameter Monitor Definition List (PMDL) consisting of MON\_N\_PMON Parameter Monitor Definitions with the fields defined in table \ref{tab:pmonAtt}|This service is not yet implemented|
S12|S|3|The PUS Extension of the CORDET Framework shall implement a Check Transition List (CTL) consisting of MON\_N\_CLST Check Transitions with the fields defined in table \ref{tab:chkTransAttr}|This service is not yet implemented|
S12|S|4|The PUS Extension of the CORDET Framework shall provide the Limit Check Monitoring Procedure implementing the behaviour shown in figure \ref{fig:MonLimCheckPr}|This service is not yet implemented|
S12|S|5|The PUS Extension of the CORDET Framework shall provide the Expected Value Monitoring Procedure implementing the behaviour shown in figure \ref{fig:MonExpValPr}|This service is not yet implemented|
S12|S|6|The PUS Extension of the CORDET Framework shall provide the Delta Value Monitoring Procedure implementing the behaviour shown in figure \ref{fig:MonDeltaValPr}|This service is not yet implemented|
S12|S|7|The PUS Extension of the CORDET Framework shall provide the Process CTL Procedure implementing the behaviour shown in figure \ref{fig:ProcCTL}|This service is not yet implemented|
S12|S|8|The PUS Extension of the CORDET Framework shall provide the Functional Monitor Notification Procedure implementing the behaviour shown in figure \ref{fig:FuncMonNotif} |This service is not yet implemented|
S12|C|9|Applications shall be responsible for initializing the data pool items \texttt{nmbAvailParMon} and \texttt{nmbEnbParMon} giving the number of available and enabled parameter monitors in the PMDL||
S12|C|10|As part of their initialization, applications shall be responsible for configuring and starting the monitor procedures associated to the pre-defined parameter monitors ||
S12|C|11|Applications shall be responsible for initializing the data pool items \texttt{nmbAvailFuncMon} and \texttt{nmbEnbFuncMon} giving the number of available and enabled functional monitors in the FMDL||
S12|C|12|During their initialization, applications shall start the Monitoring Function Procedure||
S12|C|13|During normal operation, applications shall cyclically execute the Monitoring Function Procedure with a period of MON\_PER||
S12|S|14|The PUS Extension of the CORDET Framework shall support the commands and reports specified in tables \ref{tab:InCmdMonEnbParMonDefCmdSpec} to \ref{tab:OutCmpMonRepFuncMonStatRepSpec}|This service is not yet implemented|
S13|S|1|The PUS Extension of the CORDET Framework shall support the commands and reports specified in tables \ref{tab:OutCmpLptDownFirstRepSpec} to \ref{tab:InCmdLptAbortDownCmdSpec}|This service is not yet implemented|
S13|S|2|The PUS Extension of the CORDET Framework shall maintain and make accessible through the data pool the observables and parameters listed in table \ref{tab:Obs-S13} in [PX-SP]|This service is not yet implemented|
S13|C|3|The part size or destination of a large packet transfer shall not be updated while a transfer is under way||
S13|C|4|The initiator of a down-transfer shall ensure that, prior to starting a down-transfer, all data are available in the LPT Buffer and \texttt{lptSize} is initialized to the amount of data to be down-transferred||
S13|C|5|The user shall not start an up-transfer to an LPT Buffer which is being processed by the application||
S17|S|1|The PUS Extension of the CORDET Framework shall support the commands and reports specified in tables\ref{tab:InCmdTstAreYouAliveCmdSpec} to \ref{tab:OutCmpTstConnectRepSpec} in [PX-SP]|Report Xyz is implemented in module CrPsOutCmpXyz. Command Xyz is implemented in module CrPsInCmdXyz. The header files of these modules and skeleton body files are generated by the CORDET Editor.|All service 17 commands and reports are verified by test (see section \ref{sec:svrVerCmdReps})
S17|C|2|An application shall not be sent a (17,3) command before execution of the previous (17,3) command has completed||
S17|S|3|The PUS Extension of the CORDET Framework shall maintain and make accessible through the data pool the observables and parameters listed in table \ref{tab:Obs-S17} in [PX-SP]|See the data structures defined in \texttt{CrPsDpTst}|Extent of verification of observables is shown in section \ref{sec:svrVerDataPool}
