Name|Description|Value
\textbf{CrPsNEvtRep\_t}|Type for number of event reports|unsigned short
\textbf{CrPsCycleCnt\_t}|Type for the cycle counter and HK report periods|unsigned short
\textbf{CrPsSampleBufId\_t}|Type for identifiers of the sampling buffer|unsigned char
\textbf{CrPsTimeSec\_t}|Type for a real-valued time expressed in seconds|unsigned int
\textbf{CrPsNOfCmd\_t}|Type used for the number of commands|unsigned short
\textbf{CrPsNOfLinks\_t}|Type for number up- and down-links|unsigned char
\textbf{CrPsSize\_t}|Type for the size of a large packets|unsigned short
\textbf{CrPsNCmdRep\_t}|Type for number of commands and reports in component factories|unsigned int
\textbf{CrPsNTba\_t}|Type for number of time-based scheduled activity (TBA)|unsigned short
\textbf{CrPsNSubSchedGroup\_t}|Type for the number of sub-schedules and of groups|unsigned char
\textbf{CrPsFailCode\_t}|Type used for a service 1 Failure Code|CrFwOutcome\_t
  VER\_CMD\_INV\_DEST|Failure code for all (1,10) reports|129
  VER\_REP\_CR\_FD|Failure code for start actions when they unsuccessfully attempt to create a new report from the OutFactory|130
  VER\_OUTLOADER\_FD|Failure code for start actions when the Load operation in the OutLoader has failed|131
  VER\_SID\_IN\_USE|A (3,1) or (3,2) command attempted to create a new report with a SID which is already in use|132
  VER\_FULL\_RDL|A (3,1) or (3,2) command attempted to create a new report at a time when the RDL is already full|133
  VER\_ILL\_DI\_ID|A service 3 command carried an illegal data item identifier|134
  VER\_ILL\_NID|A service 3 ommand carried too many data item identifiers|135
  VER\_ILL\_SID|A service 3 command had an invalid SID|136
  VER\_ENB\_SID|A service 3 command encountered an enabled SID|137
  VER\_MI\_S3\_FD|A multi-instruction service 3 command has failed|138
   VER\_FACT\_PRGR\_FD|The progress action of a multi-instruction service 3 command has failed to retrieve a report from the OutFactory|139
  VER\_ILL\_EID|The start action of a service 5 command has encountered an illegal Event Identifier (EID)|140
  VER\_EID\_ST\_FD|All the instructions in a service 5 command have been rejected|141
  VER\_ILL\_MON|A Parameter or Functional Monitor Identifier in a service 12 command is out-of-range or not defined|142
  VER\_MON\_START\_FD|All the instructions in a service 12 command have been rejected|143
  VER\_PMDL\_FULL|A service 12 command has found the Parameter Monitor Definition List (PMDL) full|144
  VER\_MON\_ILL\_DI|A service 12 command has found the data item identifier of the parameter to be monitored illegal|145
  VER\_MON\_PROT|A service 12 command as found a parameter monitor which belongs to a protected functional monitor|146
  VER\_MON\_ENB|A service 12 command has found a parameter or functional monitor which is enabled|147
  VER\_MON\_USE|A service 12 command has found a parameter monitor which is used by a functional monitor|148
  VER\_FMDL\_FULL|A service 12 command has found a Functional Monitor Definition List (FMDL) full|149
  VER\_MON\_TMP|A service 12 command has found too many parameter monitors in a functional monitor|150
  VER\_MON\_MFN|A service 12 command has found a value of minimum failing number equal to zero|152
  VER\_SCD\_ILL\_SS|Failure code for start action of service 11 command when it finds an illegal sub-schedule identifier|153
  VER\_FULL\_TBS|A service 11 command found the Time-Based Schedule (TBS) full|154
  VER\_SCD\_ILL\_G|A service 11 command found an illegal schedule group identifier|155
  VER\_SCD\_ILL\_RT|A service 11 command found an illegal release time|156
  VER\_SCD\_ILL\_DS|A service 11 command found an illegal destination for an scheduled command|157
  VER\_SCD\_CRFAIL|A service 11 command was unable to create an InCommand for a scheduled command (either due to lack of resources or due to illegal command type)|158
  VER\_SCD\_ST\_FD|All instructions in a service 11 command have been rejected|159
  VER\_ILL\_ACT\_ID|Command (11,5) was unable to find an activity identifier in the TBS|160
  VER\_TST\_TO|The time-out of the (17,3) command has triggered|161
  VER\_CRE\_FD|The InLoader has failed to create an InCommand to hold an incoming command|254
  VER\_CMD\_LD\_FD|The InLoader has failed to load an InCommand component into its InManager|255
